Date,LAT,LON,NDWI,nb_images
2020-03-01,29.5,-7.5,-0.1703,6
2020-04-01,29.5,-7.5,-0.168,4
2020-05-01,29.5,-7.5,-0.1555,7
2020-06-01,29.5,-7.5,-0.1587,3
2020-07-01,29.5,-7.5,-0.1622,3
2020-08-01,29.5,-7.5,-0.1652,5
2020-09-01,29.5,-7.5,-0.1766,6
2020-10-01,29.5,-7.5,-0.1743,5
2020-11-01,29.5,-7.5,-0.1936,5
2020-12-01,29.5,-7.5,-0.1768,6
2021-01-01,29.5,-7.5,-0.1746,6
2021-02-01,29.5,-7.5,-0.153,5
2021-03-01,29.5,-7.5,-0.1648,4
2021-04-01,29.5,-7.5,-0.1581,6
2021-05-01,29.5,-7.5,-0.1591,3
2021-06-01,29.5,-7.5,-0.1558,5
2021-07-01,29.5,-7.5,-0.1438,5
2021-08-01,29.5,-7.5,-0.1504,6
2021-09-01,29.5,-7.5,-0.1535,5
2021-10-01,29.5,-7.5,-0.1481,6
2021-11-01,29.5,-7.5,-0.1577,5
2021-12-01,29.5,-7.5,-0.1758,5
2022-01-01,29.5,-7.5,-0.1679,3
2022-02-01,29.5,-7.5,-0.1578,2
2022-03-01,29.5,-7.5,-0.1398,4
2022-04-01,29.5,-7.5,-0.1498,6
2022-05-01,29.5,-7.5,-0.1556,6
2022-06-01,29.5,-7.5,-0.1551,3
2022-07-01,29.5,-7.5,-0.158,4
2022-08-01,29.5,-7.5,-0.1574,3
2022-09-01,29.5,-7.5,-0.172,4
2022-10-01,29.5,-7.5,-0.1557,4
2022-11-01,29.5,-7.5,-0.1583,4
2022-12-01,29.5,-7.5,-0.1683,6
2023-01-01,29.5,-7.5,-0.1532,4
2023-02-01,29.5,-7.5,-0.1555,2
2023-03-01,29.5,-7.5,-0.1635,5
2023-04-01,29.5,-7.5,-0.1528,6
2023-05-01,29.5,-7.5,-0.1568,4
2023-06-01,29.5,-7.5,-0.157,6
2023-07-01,29.5,-7.5,-0.1583,6
2023-08-01,29.5,-7.5,-0.168,4
2023-09-01,29.5,-7.5,-0.1731,6
2023-10-01,29.5,-7.5,-0.1764,5
2023-11-01,29.5,-7.5,-0.1484,6
2023-12-01,29.5,-7.5,-0.1517,4
2024-01-01,29.5,-7.5,-0.1512,3
2024-02-01,29.5,-7.5,-0.1577,3
2024-03-01,29.5,-7.5,-0.152,5
2024-04-01,29.5,-7.5,-0.1379,4
2024-05-01,29.5,-7.5,-0.1459,4
2024-06-01,29.5,-7.5,-0.1503,5
2024-07-01,29.5,-7.5,-0.1472,5
2024-08-01,29.5,-7.5,-0.1489,6
2024-09-01,29.5,-7.5,-0.1562,4
2024-10-01,29.5,-7.5,-0.1804,4
2024-11-01,29.5,-7.5,-0.1579,3
2024-12-01,29.5,-7.5,-0.1508,4
2025-01-01,29.5,-7.5,-0.148,6
2025-02-01,29.5,-7.5,-0.149,5
2025-03-01,29.5,-7.5,-0.1552,6
2025-04-01,29.5,-7.5,-0.1543,5
2025-05-01,29.5,-7.5,-0.1584,4
2025-06-01,29.5,-7.5,-0.164,5
2025-07-01,29.5,-7.5,-0.1559,8
2025-08-01,29.5,-7.5,-0.1748,4
2025-09-01,29.5,-7.5,-0.1701,5
2025-10-01,29.5,-7.5,-0.1781,4
2025-11-01,29.5,-7.5,-0.1718,7
2025-12-01,29.5,-7.5,-0.1704,5
2020-01-01,29.5,-2.5,-0.0911,5
2020-02-01,29.5,-2.5,-0.0956,4
2020-03-01,29.5,-2.5,-0.1081,7
2020-04-01,29.5,-2.5,-0.1176,5
2020-05-01,29.5,-2.5,-0.1226,5
2020-06-01,29.5,-2.5,-0.1238,3
2020-07-01,29.5,-2.5,-0.1318,5
2020-08-01,29.5,-2.5,-0.1392,5
2020-09-01,29.5,-2.5,-0.1444,4
2020-10-01,29.5,-2.5,-0.1207,5
2020-11-01,29.5,-2.5,-0.1143,5
2020-12-01,29.5,-2.5,-0.106,5
2021-01-01,29.5,-2.5,-0.0974,5
2021-02-01,29.5,-2.5,-0.0882,3
2021-03-01,29.5,-2.5,-0.0769,4
2021-04-01,29.5,-2.5,-0.111,3
2021-05-01,29.5,-2.5,-0.1258,2
2021-06-01,29.5,-2.5,-0.1188,2
2021-07-01,29.5,-2.5,-0.1254,6
2021-08-01,29.5,-2.5,-0.1219,6
2021-09-01,29.5,-2.5,-0.1284,4
2021-10-01,29.5,-2.5,-0.1171,6
2021-11-01,29.5,-2.5,-0.1104,5
2021-12-01,29.5,-2.5,-0.0937,5
2022-01-01,29.5,-2.5,-0.1002,4
2022-02-01,29.5,-2.5,-0.1049,2
2022-03-01,29.5,-2.5,-0.1072,5
2022-04-01,29.5,-2.5,-0.1068,5
2022-05-01,29.5,-2.5,-0.1122,5
2022-06-01,29.5,-2.5,-0.1226,5
2022-07-01,29.5,-2.5,-0.1264,6
2022-08-01,29.5,-2.5,-0.13,5
