Date,Surface,Nom_Barrage
2021-03-22,7327413.376916143,Oued_El_Makhazine
2021-03-24,7317251.345727896,Oued_El_Makhazine
2021-03-24,7311088.935912485,Oued_El_Makhazine
2021-03-27,6987980.629182342,Oued_El_Makhazine
2021-03-27,7029850.329901961,Oued_El_Makhazine
2021-04-01,12356297.54662584,Oued_El_Makhazine
2021-04-18,7153058.611473531,Oued_El_Makhazine
2021-04-18,7146584.947390326,Oued_El_Makhazine
2021-05-06,7203417.2375613935,Oued_El_Makhazine
2021-05-06,7195097.025880461,Oued_El_Makhazine
2021-05-13,6995657.452843159,Oued_El_Makhazine
2021-05-13,6996969.529381366,Oued_El_Makhazine
2021-05-16,3818566.4100814536,Oued_El_Makhazine
2021-05-16,4376458.015639959,Oued_El_Makhazine
2021-05-18,7164644.490410299,Oued_El_Makhazine
2021-05-18,7165768.107058295,Oued_El_Makhazine
2021-05-21,7165767.936220893,Oued_El_Makhazine
2021-05-28,7169439.286980123,Oued_El_Makhazine
2021-05-28,7165767.222780951,Oued_El_Makhazine
2021-06-02,7090338.465782613,Oued_El_Makhazine
2021-06-02,7101679.9108205745,Oued_El_Makhazine
2021-06-07,7127092.536217184,Oued_El_Makhazine
2021-06-07,7133548.451722746,Oued_El_Makhazine
2021-06-12,7087142.613579243,Oued_El_Makhazine
2021-06-12,7095830.623967547,Oued_El_Makhazine
2021-06-20,7122886.121617214,Oued_El_Makhazine
2021-06-20,7118608.32788349,Oued_El_Makhazine
2021-06-25,7163867.912244011,Oued_El_Makhazine
2021-06-25,7131150.708009367,Oued_El_Makhazine
2021-06-27,7109515.396080465,Oued_El_Makhazine
2021-06-27,7115306.464061541,Oued_El_Makhazine
2021-06-30,7141075.847557516,Oued_El_Makhazine
2021-06-30,7106216.786959418,Oued_El_Makhazine
2021-07-02,7048792.2837147415,Oued_El_Makhazine
2021-07-02,7060913.465050311,Oued_El_Makhazine
2021-07-05,7036829.148266959,Oued_El_Makhazine
2021-07-05,7068404.233033781,Oued_El_Makhazine
2021-07-07,3136183.0931324684,Oued_El_Makhazine
2021-07-07,3146998.444695087,Oued_El_Makhazine
2021-07-10,6771312.556224986,Oued_El_Makhazine
2021-07-10,6879464.324242205,Oued_El_Makhazine
2021-07-15,7082912.910167857,Oued_El_Makhazine
2021-07-15,7061208.956147795,Oued_El_Makhazine
2021-07-17,6974250.805706187,Oued_El_Makhazine
2021-07-17,6978182.752007098,Oued_El_Makhazine
2021-07-20,7040403.907585591,Oued_El_Makhazine
2021-07-20,7020546.410545916,Oued_El_Makhazine
2021-07-25,7026821.402153462,Oued_El_Makhazine
2021-07-25,7031337.192986102,Oued_El_Makhazine
2021-07-27,7028020.098595113,Oued_El_Makhazine
2021-07-27,7036819.359243476,Oued_El_Makhazine
2021-08-01,7002053.271233052,Oued_El_Makhazine
2021-08-01,7005758.6385427425,Oued_El_Makhazine
