Date,NDWI,Surface
2023-08-10,-0.10723960573476703,104464391.95636643
2023-08-11,-0.10743906810035843,104481440.66813178
2023-08-12,-0.10763853046594983,71900581.90063083
2023-08-13,-0.10783799283154122,39319723.13312989
2023-08-14,-0.10803745519713262,6738864.365628948
2023-08-15,-0.10823691756272402,10686871.594001025
2023-08-16,-0.10843637992831542,14634878.8223731
2023-08-17,-0.10863584229390681,1241725.2467041018
2023-08-18,-0.10883530465949821,2393011.4977038223
2023-08-19,-0.10903476702508962,3544297.748703542
2023-08-20,-0.109234229390681,53722444.7200427
2023-08-21,-0.1094336917562724,103900591.69138186
2023-08-22,-0.10963315412186381,1250961.966733686
2023-08-23,-0.10983261648745521,10518068.75469881
2023-08-24,-0.1100320788530466,19785175.54266393
2023-08-25,-0.110231541218638,34769645.289490536
2023-08-26,-0.1104310035842294,49754115.03631713
2023-08-27,-0.11063046594982079,1246161.5142915617
2023-08-28,-0.11082992831541219,9143766.608044254
2023-08-29,-0.11102939068100359,17041371.701796945
2023-08-30,-0.111228853046595,59767363.075848654
2023-08-31,-0.11142831541218638,102493354.44990036
2023-09-01,-0.11162777777777778,86029878.17029977
2023-09-02,-0.11164055555555556,69566401.8906992
2023-09-03,-0.11165333333333334,53102925.61109861
2023-09-04,-0.11166611111111112,36639449.33149803
2023-09-05,-0.1116788888888889,20175973.051897436
2023-09-06,-0.11169166666666668,3712496.7722968617
2023-09-07,-0.11170444444444445,10347120.987628832
2023-09-08,-0.11171722222222223,16981745.2029608
2023-09-09,-0.11173000000000001,59273662.626116246
2023-09-10,-0.11174277777777779,101565580.04927169
2023-09-11,-0.11175555555555557,3722003.516182934
2023-09-12,-0.11176833333333334,10352894.13322299
2023-09-13,-0.11178111111111112,16983784.750263046
2023-09-14,-0.1117938888888889,25752537.322454065
2023-09-15,-0.11180666666666668,34521289.89464508
2023-09-16,-0.11181944444444444,965732.4523551192
2023-09-17,-0.11183222222222222,2325667.768520819
2023-09-18,-0.111845,3685603.0846865196
2023-09-19,-0.11185777777777778,52638000.51873469
2023-09-20,-0.11187055555555556,101590397.95278287
2023-09-21,-0.11188333333333333,3684375.4681177484
2023-09-22,-0.11189611111111111,10253144.713052306
2023-09-23,-0.11190888888888889,16821913.957986865
2023-09-24,-0.11192166666666667,58147716.755999774
2023-09-25,-0.11193444444444445,99473519.55401269
2023-09-26,-0.11194722222222223,1234384.8724002617
2023-09-27,-0.11196,8994478.601381011
2023-09-28,-0.11197277777777778,16754572.330361761
2023-09-29,-0.11198555555555556,57905626.338556774
2023-09-30,-0.11199833333333334,99056680.34675178
