Date,LAT,LON,ALLSKY_SFC_SW_DWN,RH2M,GWETTOP,T2M,Precipitations_mm,VPD
2024-12-16,29.5,-2.5,13.316666666666668,55.32333333333333,,11.963333333333333,0.0,0.625
2024-12-16,30.5,-7.5,11.086666666666666,64.59666666666666,,5.876666666666666,0.0,0.328
2024-12-16,30.5,-2.5,12.646666666666667,55.35666666666666,,11.113333333333335,0.0,0.59
2024-12-16,31.5,-7.5,10.376666666666667,71.51666666666667,,7.903333333333333,0.0,0.304
2024-12-16,31.5,-2.5,11.556666666666667,58.26,,9.783333333333333,0.0,0.505
2024-12-16,32.5,-7.5,9.5,73.04666666666667,,12.973333333333334,0.0,0.403
2024-12-16,32.5,-2.5,11.006666666666666,69.21,,6.010000000000001,0.0,0.288
2024-12-16,33.5,-7.5,8.046666666666667,73.52333333333333,,15.526666666666666,0.0,0.467
2024-12-16,33.5,-2.5,10.709999999999999,70.46,,6.026666666666666,0.0,0.277
2024-12-16,34.5,-7.5,8.19,71.51333333333334,,18.26,0.0,0.598
2024-12-16,34.5,-2.5,10.283333333333333,75.39666666666666,,8.953333333333333,0.0,0.282
2024-12-16,35.5,-7.5,8.9,73.76333333333334,,17.926666666666666,0.0,0.539
2024-12-16,35.5,-2.5,8.933333333333332,73.3,,16.686666666666667,0.0,0.507
2024-12-17,27.5,-7.5,15.63,58.04666666666666,,11.86,0.0,0.583
2024-12-17,27.5,-2.5,14.883333333333333,47.21666666666667,,13.530000000000001,0.0,0.818
2024-12-17,28.5,-7.5,15.026666666666666,53.30666666666667,,11.943333333333333,0.0,0.652
2024-12-17,28.5,-2.5,14.316666666666668,47.11666666666667,,12.909999999999998,0.0,0.787
2024-12-17,29.5,-7.5,14.686666666666667,45.673333333333325,,13.21,0.0,0.825
2024-12-17,29.5,-2.5,14.07,52.919999999999995,,11.136666666666668,0.0,0.624
2024-12-17,30.5,-7.5,13.973333333333334,62.29666666666666,,5.44,0.0,0.339
2024-12-17,30.5,-2.5,13.31,54.0,,10.633333333333333,0.0,0.589
2024-12-17,31.5,-7.5,11.700000000000001,70.21,,7.52,0.6,0.309
2024-12-17,31.5,-2.5,12.636666666666665,54.32333333333333,,10.06,0.0,0.563
2024-12-17,32.5,-7.5,11.24,72.14333333333333,,12.81,0.0,0.412
2024-12-17,32.5,-2.5,11.103333333333333,66.70666666666666,,6.390000000000001,0.0,0.32
2024-12-17,33.5,-7.5,10.956666666666665,74.78333333333333,,14.826666666666668,0.0,0.425
2024-12-17,33.5,-2.5,10.02,77.14,,5.796666666666667,0.0,0.211
2024-12-17,34.5,-7.5,10.606666666666667,70.29,,17.849999999999998,0.0,0.607
2024-12-17,34.5,-2.5,9.253333333333332,82.82000000000001,,8.61,0.0,0.192
2024-12-17,35.5,-7.5,10.803333333333333,72.44,,17.473333333333333,0.0,0.55
2024-12-17,35.5,-2.5,8.25,75.69333333333333,,16.383333333333333,0.0,0.453
2024-12-18,27.5,-7.5,15.496666666666668,47.199999999999996,,11.763333333333334,0.0,0.729
2024-12-18,27.5,-2.5,14.229999999999999,51.663333333333334,,11.81,0.0,0.669
2024-12-18,28.5,-7.5,15.079999999999998,44.92333333333334,,11.709999999999999,0.0,0.758
2024-12-18,28.5,-2.5,13.586666666666666,53.76,,11.616666666666667,0.0,0.632
2024-12-18,29.5,-7.5,14.533333333333333,42.22,,12.68,0.0,0.847
